MiEarphones | https://mannaimart.com/product/mi-earphones-with-in-built-mic-black/ | WIRELESS | SMALL | 23347
Genius HS-G560 | https://naobzorah.ru/garnitura/genius_hs-g560?ysclid=lbe333b870185042285 | WIRED | HUGE | 16316
MiEarphones | https://www.mi.com/ru/product/mi-true-wireless-earphones-2-pro/ | WIRELESS | SMALL | 21902
ROG DELTA CORE | https://rog.asus.com/ru/headsets-audio/headsets/3-5mm-headsets/rog-delta-core-model/ | WIRED | HUGE | 43317
Sony WIC400W | https://www.sony.ru/electronics/in-ear-headphones/wi-c400?ysclid=lbe39qggdp295600867 | WIRED | SMALL | 23997
AudioTechnica ATH | https://audio-technica.ru/catalog/headphones/pro/ath-m40x/?ysclid=lbe34tkir0453258905 | WIRED | SMALL | 12000
JBLQuantum200 | https://www.jbl.com.my/gaming/QUANTUM200.html | WIRED | HUGE | 16000
JBLQUANTUM400BLK | https://www.jbl.com.my/gaming/QUANTUM400.html | WIRED | HUGE | 10000
Redmi Buds 3 | https://www.mi.com/global/product/redmi-buds-3/ | WIRELESS | SMALL | 150000
Galaxy Buds2 | https://www.samsung.com/kz_ru/audio-sound/galaxy-buds/galaxy-buds2-graphite-sm-r177nzkacis/ | WIRELESS | SMALL | 100000
Airpods | https://www.apple.com/ru/airpods/ | WIRELESS | SMALL | 93317
Sven APG857MV | https://www.sven.fi/ru/catalog/headphones_pc/ap-g857mv.htm | WIRED | HUGE | 33317
Bloody G521 | https://www.bloody.com/ru/product.php?pid=12&id=244 | WIRED | HUGE | 21102
AirPods Max | https://www.apple.com/ru/airpods/ | WIRELESS | HUGE | 339317
